央视频道,#genre#
东南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225657/index.m3u8
东方卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225829/index.m3u8
东南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225830/index.m3u8
东南卫视,http://117.169.124.37:6610/ysten-businessmobile/live/dongnanstv/yst.m3u8
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225705/index.m3u8$蓝光8M
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225746/index.m3u8$蓝光
江西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225746/index.m3u8
江西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225852/index.m3u8
江西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225705/index.m3u8
江西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225834/index.m3u8
江西卫视,http://117.169.124.37:6610/ysten-businessmobile/live/jiangxistv/yst.m3u8
河北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225732/index.m3u8$蓝光
河北卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225732/index.m3u8
河北卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225880/index.m3u8
河北卫视,http://117.169.124.37:6610/ysten-businessmobile/live/hebeistv/yst.m3u8
深圳卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225700/index.m3u8$蓝光8M
深圳卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8$蓝光
深圳卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225741/index.m3u8
深圳卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225828/index.m3u8
深圳卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225827/index.m3u8
深圳卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225700/index.m3u8
深圳卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225875/index.m3u8
深圳卫视,http://117.169.124.37:6610/ysten-businessmobile/live/shenzhenstv/yst.m3u8
湖北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225699/index.m3u8$蓝光8M
湖北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225740/index.m3u8$蓝光
湖北卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225740/index.m3u8
湖北卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225800/index.m3u8
湖北卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225799/index.m3u8
湖北卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225871/index.m3u8
湖北卫视,http://117.169.124.37:6610/ysten-businessmobile/live/hubeistv/yst.m3u8
四川卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225733/index.m3u8$蓝光
四川卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225733/index.m3u8
四川卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225885/index.m3u8
